date,precipitation_mm
2022-02-25,9.9
2022-02-26,1.0
2022-02-27,4.7
2022-02-28,3.0
2022-03-01,0.8
2022-03-02,10.8
2022-03-03,3.2
2022-03-04,0.9
2022-03-05,0.2
2022-03-06,0.5
2022-03-07,1.0
2022-03-08,1.4
2022-03-09,7.7
2022-03-10,0.0
2022-03-11,0.9
2022-03-12,0.2
2022-03-13,0.2
2022-03-14,3.4
2022-03-15,1.1
2022-03-16,7.1
2022-03-17,0.0
2022-03-18,3.2
2022-03-19,4.6
2022-03-20,1.9
2022-03-21,6.8
2022-03-22,18.7
2022-03-23,0.6
2022-03-24,1.4
2022-03-25,13.1
2022-03-26,0.2
2022-03-27,7.1
2022-03-28,0.1
2022-03-29,5.3
2022-03-30,15.5
2022-03-31,1.9
2022-04-01,1.2
2022-04-02,3.4
2022-04-03,2.4
2022-04-04,0.9
2022-04-05,3.4
2022-04-06,1.0
2022-04-07,0.0
2022-04-08,1.4
2022-04-09,1.2
2022-04-10,0.3
2022-04-11,0.9
2022-04-12,0.3
2022-04-13,2.6
2022-04-14,9.4
2022-04-15,11.8
2022-04-16,10.5
2022-04-17,2.1
2022-04-18,1.5
2022-04-19,1.2
2022-04-20,30.3
2022-04-21,6.6
2022-04-22,4.0
2022-04-23,11.8
2022-04-24,10.7
2022-04-25,11.6
2022-04-26,0.7
2022-04-27,8.0
2022-04-28,13.1
2022-04-29,10.1
2022-04-30,2.2
2022-05-01,18.7
2022-05-02,6.8
2022-05-03,1.6
2022-05-04,9.4
2022-05-05,1.0
2022-05-06,2.8
2022-05-07,3.4
2022-05-08,8.8
2022-05-09,2.9
2022-05-10,0.5
2022-05-11,6.9
2022-05-12,2.4
2022-05-13,2.6
2022-05-14,0.3
2022-05-15,2.7
2022-05-16,4.1
2022-05-17,1.8
2022-05-18,0.6
2022-05-19,1.2
2022-05-20,3.4
2022-05-21,0.6
2022-05-22,1.1
2022-05-23,2.1
2022-05-24,7.0
2022-05-25,0.3
2022-05-26,1.3
2022-05-27,9.0
2022-05-28,6.6
2022-05-29,18.5
2022-05-30,6.0
2022-05-31,0.7
2022-06-01,6.6
2022-06-02,0.9
2022-06-03,0.4
2022-06-04,0.3
2022-06-05,0.3
2022-06-06,0.8
2022-06-07,4.5
2022-06-08,8.4
2022-06-09,0.7
2022-06-10,12.1
2022-06-11,1.8
2022-06-12,4.1
2022-06-13,0.4
2022-06-14,1.0
2022-06-15,1.4
2022-06-16,0.6
2022-06-17,0.4
2022-06-18,1.0
2022-06-19,6.6
2022-06-20,4.1
